a barber; hairdressing	理发 lǐ fà 
to provide assistance; to support; to back	支援 zhī yuán 
to provoke; provocation	挑衅 tiǎo xìn 
to publish; to come off the press; to put out	出版 chū bǎn 
to publish; to issue (stocks, currency etc); to release; to distribute (a film)	发行 fā xíng 
to publish; to issue; to put out; to issue (a statement);	发表 fā biǎo 
to pull (an animal on a tether); to lead along; to hold hands	牵 qiān 
to pull back; to shrink; to contract	收缩 shōu suō 
to pull; to play (string instruments); to drag; to draw	拉 lā 
to punish; punishment; sanctions (incl. economic)	制裁 zhì cái 
to pursue (a goal etc) stubbornly; to seek after; to woo	追求 zhuī qiú 
to push aside; to dial; to allocate; to set aside (money); to poke (the fire); to pluck (a string instrument); to turn round; classifier: group, batch;	拨 bō 
to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect	推 tuī 
to put an end to; to annihilate; to cause to perish; to perish; annihilation (in quantum field theory)	消灭 xiāo miè 
to put in order; to arrange; to decorate; to fix up; to deploy	布置 bù zhì 
to put in order; to tidy up; to pack; to repair; to punish (colloquial); to manage	收拾 shōu shi 
to put on display; to exhibit; exhibition; show; CL:个,次[ci4]	展览 zhǎn lǎn 
to put one's hand to it; to start out on a task; to set out	着手 zhuó shǒu 
to put on make-up	化妆 huà zhuāng 
to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support	戴 dài 
to put things back in order; to return to the correct path; in any event; come what may; whatever happens (I'm still sure it's right); anyway	反正 fǎn zhèng 
to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train)	搭 dā 
to put up with; to tolerate	容忍 róng rěn 
to puzzle; to confuse; to baffle	迷惑 mí huo 
to quarrel; to have a row; CL:顿[dun4]	吵架 chǎo jià 
to question; to quiz; to grill	提问 tí wèn 
to quote; to cite; to recommend; to appoint	引用 yǐn yòng 
to radiate; radioactive	放射 fàng shè 
to rain; rainy	下雨 xià yǔ 
to raise aloft with both hands	扛 gāng 
to raise animals	畜牧 xù mù 
to raise; to hoist; to promote; metric liter (also written 公升); measure for dry grain equal to one-tenth (斗 dǒu)	升 shēng 
to raise; to increase	增加 zēng jiā 
to raise; to increase	提高 tí gāo 
to raise; to rear	饲养 sì yǎng 
to raise	翘 qiào 
to ravage; to ruin	摧残 cuī cán 
to reach (an agreement); to accomplish	达成 dá chéng 
to reach; to achieve; to attain	达到 dá dào 
to reach; to arrive	到达 dào dá 
to reach; to be enough	够 gòu 
to react; to respond; reaction; response; reply; chemical reaction; CL:个	反应 fǎn yìng 
to read; reading	阅读 yuè dú 
to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]	读 dú 
to recall; recollection; CL:个	回忆 huí yì 
to receive (a visitor); to admit (allow sb to enter)	接待 jiē dài 
to receive (guests); to entertain; reception	招待 zhāo dài 
to receive; to accept; to collect; in care of (used on address line after name)	收 shōu 
to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; take over for sb	接 jiē 
to recline; to lie down	躺 tǎng 
to recognize; to identify	辨认 biàn rèn 
to recommend; recommendation	推荐 tuī jiàn 
to record (sound); sound-recording; CL:个	录音 lù yīn 
to recruit; to enroll	录取 lù qǔ 
to recycle; to reclaim; to retrieve; to recover	回收 huí shōu 
to reduce; to lower; to bring down	降低 jiàng dī 
to reflect on; to ponder over	思考 sī kǎo 
to reflect; reflection (from a mirror etc); reflex (i.e. automatic reaction of organism)	反射 fǎn shè 
to reform; reform; CL:个	改革 gǎi gé 
to refuse politely	谢绝 xiè jué 
to refuse; to decline; to reject	拒绝 jù jué 
to register (at a hospital); to send by registered mail	挂号 guà hào 
to register (one's name); to check in; enter one's name	登记 dēng jì 
to register; to enroll	注册 zhù cè 
to register; to login	登录 dēng lù 
to regret; regret; pity; sorry	遗憾 yí hàn 
to regret; to repent	后悔 hòu huǐ 
to rehearse; rehearsal;	排练 pái liàn 
to reinstate; to resume; to restore; to recover; to regain; to rehabilitate	恢复 huī fù 
to reject; to exclude; to eliminate; to remove; to repel	排斥 pái chì 
to relate (a story or information); to tell or talk about; to recount; narration; telling; narrative; account	叙述 xù shù 
to release; to free; to let go; to put; to place; to let out; to set off (fireworks)	放 fàng 
to release; to issue; to announce; to distribute; also written 發发布[fa1 bu4]	发布 fā bù 
to release; to set free; to liberate (a prisoner); to discharge	释放 shì fàng 
to rely on sth (for support etc); to depend on	依靠 yī kào 
to rely on; to depend on	依托 yī tuō 
to remain; left over; surplus; remnant	残留 cán liú 
to remain; to be left; to have as remainder	剩 shèng 
to remember	记得 jì de 
to remove; to sack; to get rid of; to relieve (sb of their duties); to free; to lift (an embargo); to rescind (an agreement)	解除 jiě chú 
to renounce; to abandon; to give up	放弃 fàng qì 
to rent; to charter; to rent out; to lease out; to hire; rent; land tax	租 zū 
to rent; to lease; to hire	租赁 zū lìn 
to repair; to perform maintenance; to overhaul; to fix; to prune; to trim	修理 xiū lǐ 
to repay; to reimburse	偿还 cháng huán 
to repay; to requite	报答 bào dá 
to repeal; to revoke; to undo (computing)	撤销 chè xiāo 
to repeat; to duplicate; CL:个	重复 chóng fù 
to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate	更新 gēng xīn 
to replenish; to supplement; to complement; additional; supplementary; CL:个	补充 bǔ chōng 
to reply (to an accusation)	答辩 dá biàn 
to reply; to answer; the answer; CL:个	回答 huí dá 
to report sth to the police; to sound an alarm	报警 bào jǐng 
to report; to give an account of; to collect information and report back	汇报 huì bào 
to report (to the authorities); to declare (to customs)	申报 shēn bào 
to request; request; to ask; CL:个	请求 qǐng qiú 
to request; to require; to stake a claim; to ask; to demand; CL:点[dian3]	要求 yāo qiú 
to rescue; to save; to assist	救 jiù 
to resemble; similar; like; resemblance; similarity	相似 xiāng sì 
to reside; to dwell; to live in a place; resident in	居住 jū zhù 
to resign	辞职 cí zhí 
to resist; resistance	抵抗 dǐ kàng 
to resist; to boycott; to refuse (to cooperate); to reject; resistance; refusal	抵制 dǐ zhì 
to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear	挡 dǎng 
to resist; to rebel	反抗 fǎn kàng 
to resolve; to decompose; to break down	分解 fēn jiě 
to respect; to revere; to honour	尊敬 zūn jìng 
to restore to the original state; reduction (chemistry)	还原 huán yuán 
to restrain; to control; restraint; self-control;	克制 kè zhì 
to restrict; condition	制约 zhì yuē 
to restrict; to limit; to confine; restriction; limit; CL:个	限制 xiàn zhì 
to restrict; to limit to; to constrain; restriction; constraint	约束 yuē shù 
to restrict; to restrain; constrained; awkward; ill at ease; uncomfortable; reticent	拘束 jū shù 
to retain; to stay; to remain; to keep; to preserve; to leave (eg a message)	留 liú 
to retort; to refute	反驳 fǎn bó 
to retrieve; to redeem	挽回 wǎn huí 
to return sth; to revert	归还 guī huán 
to reveal; to display; to show; to exhibit sth	展示 zhǎn shì 
to revenge (oneself); to avenge	报仇 bào chóu 
to revere; high esteem	崇敬 chóng jìng 
to revere; to admire	瞻仰 zhān yǎng 
to reverse; to turn around (an undesirable situation)	扭转 niǔ zhuǎn 
to revise; to review; revision; CL:次[ci4]	复习 fù xí 
to revive; rebirth	复兴 fù xīng 
to revive, to revitalize, to invigorate, to re-energize	振兴 zhèn xīng 
to revolve around; to center on (an issue)	围绕 wéi rào 
to ride (an animal or bike); to sit astride	骑 qí 
to ride (in a vehicle)	乘坐 chéng zuò 
to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (mathematics); Buddhist sect or creed	乘 chéng 
to rise (of prices, rivers)	涨 zhǎng 
to rob; looting	抢劫 qiāng jié 
to roll; to get away; to boil; get lost (imperative); take a hike	滚 gǔn 
to roll up	卷 juǎn 
to rotate; to revolve; to spin; to whirl	旋转 xuán zhuǎn 
to rot; to become gangrenous	腐烂 fǔ làn 
to row; to paddle; profitable; worth (the effort); it pays (to do sth);	划 huà 
to rub or roll between the hands or fingers; to twist	搓 cuō 
to ruin; to corrupt; to undermine	败坏 bài huài 
to rule (a country); to govern; rule; regime	统治 tǒng zhì 
to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make	奔驰 bēn chí 
to rush; to charge; to dash; to break through; to temper oneself (through battling hardships)	闯 chuǎng 
to rust; to grow rusty; to corrode; oxidization	生锈 shēng xiù 
to sacrifice oneself; to lay down one's life; to do sth at the expense of; beast slaughtered for sacrifice; sacrifice; CL:个	牺牲 xī shēng 
to sail; to fly; to navigate	航行 háng xíng 
to satirize; to mock; irony; satire; sarcasm	讽刺 fěng cì 
to satisfy a craving; to get a kick out of sth; gratifying; immensely enjoyable; satisfying; fulfilling	过瘾 guò yǐn 
to satisfy; to meet (the needs of)	满足 mǎn zú 
to save; to remedy; to rescue	挽救 wǎn jiù 
to sb's face; in sb's presence	当面 dāng miàn 
to scald; to burn; to iron; hot	烫 tàng 
to scold; abuse; CL:通[tong4] ,顿[dun4]	骂 mà 
to scold in a loud voice; to yawn	呵 hē 
to screen; to shield; to cover; protection; cover; CL:面[mian4]	掩护 yǎn hù 
to sculpt; to carve; musical instrument (old);	追 zhuī 
to seal; to close; to confine; to seal off; to close down; sealed; confined; closed; unreceptive	封闭 fēng bì 
to search; to look for sth; to scour (search meticulously); to look sth up; internet search; database search	搜索 sōu suǒ 
to seek; to look for	寻找 xún zhǎo 
to seek; to strive for	谋求 móu qiú 
to seek truth from facts (idiom); to be practical and realistic	实事求是 shí shì qiú shì 
to seem; as if; alike; similar	仿佛 fǎng fú 
to seem; to look; to appear	显得 xiǎn de 
to see; to catch sight of	看见 kàn jiàn 
to see what is right and act courageously (idiom, from Analects); to stand up bravely for the truth; acting heroically in a just cause	见义勇为 jiàn yì yǒng wéi 
to select the best	选拔 xuǎn bá 
to select; to pick; choice; option; alternative	选择 xuǎn zé 
to sell; to betray; to spare no effort; to show off or flaunt	卖 mài 
to sell; to market; sales	销售 xiāo shòu 
to sell; to peddle; to traffic	贩卖 fàn mài 
to send back information; feedback	反馈 fǎn kuì 
to send (on a mission); to dispatch	派遣 pài qiǎn 
to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds)	发 fā 
to sense; perception; to feel (through the senses); a feeling; an impression; an experience	感受 gǎn shòu 
to separate oneself from; to break away from; diastasis (medicine); abscission; abjunction (botany)	脱离 tuō lí 
to separate; to isolate	隔离 gé lí 
to serve as; to act as; to play the role of	充当 chōng dāng 
to serve; to act as a valet	伺候 cì hòu 
to set off;	衬托 chèn tuō 
to set one's mind at rest; to be at ease; to rest	放心 fàng xīn 
to set out on a journey	启程 qǐ chéng 
to settle a bill; to close an account	结算 jié suàn 
to settle (a dispute out of court); to reconcile; settlement; conciliation; to become reconciled	和解 hé jiě 
to settle (a dispute); to resolve; to solve	解决 jiě jué 
to settle; to precipitate (solid sediment out of a solution)	沉淀 chén diàn 
to set up; to establish	树立 shù lì 
to set up; to establish	设立 shè lì 
to set up; to install	设置 shè zhì 
to sever; to break off	断绝 duàn jué 
to shake hands	握手 wò shǒu 
to shake; to jolt; to bump	颠簸 diān bǒ 
to shake; to rock; to row; to crank	摇 yáo 
to shake; to vibrate; to shock; to stun; shocking; stunning; fig. mind-blowing;	震撼 zhèn hàn 
to shed tears	流泪 liú lèi 
to shed; to take off; to escape; to get away from	脱 tuō 
to shelter from; to keep out	遮挡 zhē dǎng 
to shield; to harbor; to cover up	包庇 bāo bì 
to shift to an earlier date; to bring forward; to advance; in advance	提前 tí qián 
to shift; to divert or distract (attention etc); to change; to transform; metastasis (medicine)	转移 zhuǎn yí 
to shift; to move	挪 nuó 
to shock; to astonish	震惊 zhèn jīng 
to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission	发射 fā shè 
to shoot; to fire (a gun)	射击 shè jī 
to show an interest in; to get involved with	过问 guò wèn 
to show off; to flaunt;	炫耀 xuàn yào 
to show restraint; to repress (anger etc); to exercise patience	忍耐 rěn nài 
